MODEL,EPOCHS,LEARNING_RATE,TRAINING_IMGSIZE,TOTAL_IMAGES,PREPROCESSING,AUGMENTATIONS,PREDICT_IMAGES,PRECISION,RECALL,F1_SCORE,PREDICT_TIME_PER_IMAGE
UNet,50,0.0001,480x480,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.296
UNet,50,0.0001,480x480,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.283
UNet,50,0.0001,480x480,45,no,no,5,0.0,0.0,0.0,5.746
UNet,50,0.0001,480x480,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.0,0.0,0.0,0.241
UNet,50,0.0001,480x480,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.222
UNet,50,0.0001,640x640,45,gaussian filter,no,5,0.0,0.0,0.0,0.186
UNet,50,0.0001,640x640,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.238
UNet,50,0.0001,640x640,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.193
UNet,50,0.0001,640x640,45,no,no,5,0.0,0.0,0.0,4.423
UNet,50,0.0001,640x640,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.0,0.0,0.0,0.182
UNet,50,0.0001,640x640,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.175
UNet,50,0.0001,720x720,45,gaussian filter,no,5,0.0,0.0,0.0,0.3
UNet,50,0.0001,720x720,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.325
UNet,50,0.0001,720x720,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.705
UNet,50,0.0001,720x720,45,no,no,5,0.0,0.0,0.0,5.26
UNet,50,0.0001,720x720,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.0,0.0,0.0,7.193
UNet,50,0.0001,720x720,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.297
UNet,75,0.0001,480x480,45,gaussian filter,no,5,0.0,0.0,0.0,0.172
UNet,75,0.0001,480x480,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.177
UNet,75,0.0001,480x480,45,no,no,5,0.0,0.0,0.0,5.647
UNet,75,0.0001,480x480,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.159
UNet,75,0.0001,640x640,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.395
UNet,75,0.0001,640x640,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.379
UNet,75,0.0001,640x640,45,no,no,5,0.0,0.0,0.0,4.463
UNet,75,0.0001,640x640,63,gaussian filter & grayscale,flip horizontal vertical & 2x,7,0.0,1.0,0.0,0.287
UNet,75,0.0001,640x640,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.285
UNet,75,0.0001,720x720,45,gaussian filter,no,5,0.0,0.0,0.0,5.052
UNet,75,0.0001,720x720,45,gaussian filter & grayscale,flip horizontal vertical & 2x,5,0.0,0.0,0.0,0.175
UNet,75,0.0001,720x720,45,gaussian filter & grayscale,no,5,0.0,0.0,0.0,0.166
UNet,75,0.0001,720x720,45,no,no,5,0.0,0.0,0.0,5.777
UNet,75,0.0001,720x720,63,gaussian filter & grayscale,no,7,0.0,0.0,0.0,0.152
